category,name,price,description
Coffee,Espresso,25 / 35,
Coffee,Macchiato,35 / 42,
Coffee,Americano,40,
Coffee,Cappuccino,45,
Coffee,Latte Macchiato,48,
Coffee,Caffe Latte,52,
Coffee,Espressino,40,
Cold Coffee,Iced Latte,55,
Cold Coffee,Shakerato,40,
Hot Chocolate,Italian Classico,49,
Cold Drinks,S.Pellegrino,40,
Cold Drinks,Limonata,45,
Cold Drinks,Juice,35,"Pesca, Ace, Pera, Albicocca"
Cold Drinks,Spremuta D'arancia,59,
Cold Drinks,Cedrata,39,
Cold Drinks,Birra Morretti 0%,45,
Tea,Tea,39,
Tea,Estathé,39,
Gelato,Gelato,65,
Gelato,Affogato,79,